GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US040130405293,040130405293,"Block Group 3, Census Tract 405.29, Maricopa County, Arizona",5191500,2547816
1500000US040130405294,040130405294,"Block Group 4, Census Tract 405.29, Maricopa County, Arizona",36354300,9582145
1500000US040130405301,040130405301,"Block Group 1, Census Tract 405.30, Maricopa County, Arizona",32108100,7397580
1500000US040130405302,040130405302,"Block Group 2, Census Tract 405.30, Maricopa County, Arizona",47516000,9683178
1500000US040130405311,040130405311,"Block Group 1, Census Tract 405.31, Maricopa County, Arizona",30410400,8068199
1500000US040130405312,040130405312,"Block Group 2, Census Tract 405.31, Maricopa County, Arizona",17605900,4999741
1500000US040130405313,040130405313,"Block Group 3, Census Tract 405.31, Maricopa County, Arizona",6111600,2787668
1500000US040130405314,040130405314,"Block Group 4, Census Tract 405.31, Maricopa County, Arizona",19676300,7582751
1500000US040130506031,040130506031,"Block Group 1, Census Tract 506.03, Maricopa County, Arizona",16905200,7859612
1500000US040130506032,040130506032,"Block Group 2, Census Tract 506.03, Maricopa County, Arizona",58846700,17526636
1500000US040130506033,040130506033,"Block Group 3, Census Tract 506.03, Maricopa County, Arizona",9969300,4888452
1500000US040130506041,040130506041,"Block Group 1, Census Tract 506.04, Maricopa County, Arizona",42394800,9382281
1500000US040130506042,040130506042,"Block Group 2, Census Tract 506.04, Maricopa County, Arizona",17875400,5090057
1500000US040130506051,040130506051,"Block Group 1, Census Tract 506.05, Maricopa County, Arizona",44362500,10455421
1500000US040130506052,040130506052,"Block Group 2, Census Tract 506.05, Maricopa County, Arizona",39927100,13524784
1500000US040130506053,040130506053,"Block Group 3, Census Tract 506.05, Maricopa County, Arizona",66376500,21841714
1500000US040130506061,040130506061,"Block Group 1, Census Tract 506.06, Maricopa County, Arizona",59310300,19823873
